# Source file pedestal_DPM0_20220423_071447.raw
# Produced 2022-05-03 01:44:18 GMT
DetID,PEDESTAL_ADC,PEDESTAL_RMS_ADC
0x18800100,   94.882,    2.538
0x18800101,   94.682,    2.298
0x18800102,   92.110,    2.591
0x18800103,   91.871,    2.704
0x18800104,  103.635,    3.305
0x18800105,   98.881,    3.241
0x18800106,  102.631,    3.613
0x18800107,  104.234,    3.472
0x18800200,   95.383,    3.008
0x18800201,   96.799,    3.394
0x18800202,   96.237,    3.272
0x18800203,  106.065,    3.487
0x18800204,   93.699,    2.941
0x18800205,   95.387,    3.031
0x18800206,  107.325,    3.325
0x18800207,  106.738,    3.645
0x18800300,   91.686,    5.411
0x18800301,   91.583,    5.510
0x18800302,   97.980,    5.152
0x18800303,  101.983,    5.013
0x18800304,   92.491,    6.204
0x18800305,  105.096,    6.339
0x18800306,   99.703,    5.981
0x18800307,   99.556,    5.818
0x18800400,  106.009,    6.626
0x18800401,  102.488,    6.182
0x18800402,  106.605,    6.485
0x18800403,  100.199,    6.095
0x18800404,  100.987,    5.758
0x18800405,   95.924,    5.827
0x18800406,   96.405,    5.891
0x18800407,  103.165,    5.602
0x18800500,  104.711,    2.401
0x18800501,   89.285,    2.524
0x18800502,   94.646,    2.110
0x18800503,   95.073,    2.162
0x18800504,  106.305,    2.939
0x18800505,  105.097,    2.598
0x18800506,  103.753,    2.430
0x18800507,   91.141,    2.442
0x18800600,  108.610,    2.637
0x18800601,   92.486,    2.503
0x18800602,  102.726,    2.062
0x18800603,   96.835,    2.670
0x18800604,   96.460,    2.404
0x18800605,  103.527,    2.540
0x18800606,  103.422,    2.312
0x18800607,   94.349,    2.052
0x18800700,   99.789,    1.981
0x18800701,   94.114,    1.498
0x18800702,   92.889,    1.815
0x18800703,  101.650,    1.780
0x18800704,  102.094,    1.775
0x18800705,  103.668,    1.862
0x18800706,  165.289,    7.984
0x18800707,   92.754,    2.073
0x18800800,  102.808,    2.049
0x18800801,   99.924,    1.905
0x18800802,   95.278,    1.452
0x18800803,   96.660,    1.885
0x18800804,   94.258,    1.762
0x18800805,   95.909,    1.955
0x18800806,  104.427,    2.055
0x18800807,  103.604,    1.996
0x18800900,   94.521,    3.277
0x18800901,   95.298,    3.171
0x18800902,  101.447,    3.580
0x18800903,   96.009,    3.328
0x18800904,  101.704,    3.620
0x18800905,  109.068,    3.057
0x18800906,  101.432,    3.472
0x18800907,  103.912,    3.168
0x18800a00,   94.177,    3.871
0x18800a01,   91.173,    3.767
0x18800a02,   99.558,    3.355
0x18800a03,  105.191,    3.233
0x18800a04,  104.083,    3.583
0x18800a05,   98.636,    3.594
0x18800a06,   94.117,    3.497
0x18800a07,   90.617,    4.107
0x18800a08,   96.146,    2.988
0x18800a09,   94.656,    3.113
0x18800a0a,   93.543,    3.218
0x18800a0b,   97.006,    2.680
0x18800b00,  106.770,    2.528
0x18800b01,   95.346,    3.250
0x18800b02,  102.004,    2.407
0x18800b03,  105.138,    2.350
0x18800b04,   93.346,    3.740
0x18800b05,   92.807,    3.695
0x18800b06,   94.752,    3.557
0x18800b07,  107.916,    2.256
0x18800b08,   97.932,    2.424
0x18800b09,  103.084,    2.276
0x18800b0a,  104.618,    2.216
0x18800b0b,  108.365,    2.305
0x18880100,  104.402,    2.967
0x18880101,   96.171,    3.659
0x18880102,  103.865,    2.882
0x18880103,  102.739,    2.835
0x18880104,   95.177,    3.294
0x18880105,   93.127,    2.990
0x18880106,  105.688,    3.571
0x18880107,  105.891,    3.723
0x18880200,   95.248,    3.080
0x18880201,  102.372,    2.859
0x18880202,  104.764,    3.161
0x18880203,  107.354,    3.390
0x18880204,   94.845,    2.801
0x18880205,   94.705,    2.219
0x18880206,  102.017,    2.760
0x18880207,  104.418,    2.984
0x18880300,   96.107,    5.660
0x18880301,   92.369,    5.687
0x18880302,  107.885,    5.729
0x18880303,   94.962,    5.462
0x18880304,   98.835,    6.091
0x18880305,  104.420,    6.380
0x18880306,  106.031,    6.459
0x18880307,   95.460,    5.997
0x18880400,   95.097,    6.142
0x18880401,  101.272,    6.065
0x18880402,  101.052,    6.015
0x18880403,   97.644,    5.824
0x18880404,   94.388,    5.619
0x18880405,   93.950,    5.672
0x18880406,   96.446,    5.393
0x18880407,   93.708,    5.689
0x18880500,   98.569,    2.678
0x18880501,  108.139,    2.674
0x18880502,  101.077,    2.727
0x18880503,  101.367,    2.793
0x18880504,   93.148,    2.381
0x18880505,   92.937,    2.537
0x18880506,   95.551,    2.587
0x18880507,   90.172,    2.292
0x18880600,  100.654,    2.369
0x18880601,   97.062,    2.433
0x18880602,  102.814,    2.346
0x18880603,   94.708,    2.099
0x18880604,  106.470,    2.525
0x18880605,   92.691,    2.214
0x18880606,  109.308,    2.163
0x18880607,   97.125,    2.209
0x18880700,  101.767,    2.169
0x18880701,   90.945,    1.788
